date,GDP,Economic growth rate
2015-01-01,394273,2.4
2015-02-01,394273,2.4
2015-03-01,394273,2.4
2015-04-01,411387,2
2015-05-01,411387,2
2015-06-01,411387,2
2015-07-01,420791,3.3
2015-08-01,420791,3.3
2015-09-01,420791,3.3
2015-10-01,431570,3.4
2015-11-01,431570,3.4
2015-12-01,431570,3.4
2016-01-01,413495,2.8
2016-02-01,413495,2.8
2016-03-01,413495,2.8
2016-04-01,434536,3.6
2016-05-01,434536,3.6
2016-06-01,434536,3.6
2016-07-01,439480,2.8
2016-08-01,439480,2.8
2016-09-01,439480,2.8
2016-10-01,453268,2.6
2016-11-01,453268,2.6
2016-12-01,453268,2.6
2017-01-01,433086,3.1
2017-02-01,433086,3.1
2017-03-01,433086,3.1
2017-04-01,454227,2.8
2017-05-01,454227,2.8
2017-06-01,454227,2.8
2017-07-01,473428,3.9
2017-08-01,473428,3.9
2017-09-01,473428,3.9
2017-10-01,474958,2.9
2017-11-01,474958,2.9
2017-12-01,474958,2.9
2018-01-01,449358,2.9
2018-02-01,449358,2.9
2018-03-01,449358,2.9
2018-04-01,472929,3.1
2018-05-01,472929,3.1
2018-06-01,472929,3.1
2018-07-01,485724,2.4
2018-08-01,485724,2.4
2018-09-01,485724,2.4
2018-10-01,490182,3.2
2018-11-01,490182,3.2
2018-12-01,490182,3.2
2019-01-01,455551,1.9
2019-02-01,455551,1.9
2019-03-01,455551,1.9
2019-04-01,480832,2.3
2019-05-01,480832,2.3
2019-06-01,480832,2.3
2019-07-01,488771,2.1
2019-08-01,488771,2.1
2019-09-01,488771,2.1
2019-10-01,499344,2.7
2019-11-01,499344,2.7
2019-12-01,499344,2.7
2020-01-01,459774,1.4
2020-02-01,459774,1.4
2020-03-01,459774,1.4
2020-04-01,475617,-2.6
2020-05-01,475617,-2.6
2020-06-01,475617,-2.6
2020-07-01,496392,-0.9
2020-08-01,496392,-0.9
2020-09-01,496392,-0.9
2020-10-01,508943,-0.7
2020-11-01,508943,-0.7
2020-12-01,508943,-0.7
2021-01-01,484679,2.4
2021-02-01,484679,2.4
2021-03-01,484679,2.4
2021-04-01,517054,6.4
2021-05-01,517054,6.4
2021-06-01,517054,6.4
2021-07-01,531526,4.1
2021-08-01,531526,4.1
2021-09-01,531526,4.1
2021-10-01,546940,4.3
2021-11-01,546940,4.3
2021-12-01,546940,4.3
2022-01-01,512013,3.1
2022-02-01,512013,3.1
2022-03-01,512013,3.1
2022-04-01,544240,2.9
2022-05-01,544240,2.9
2022-06-01,544240,2.9
2022-07-01,548893,3.2
2022-08-01,548893,3.2
2022-09-01,548893,3.2
2022-10-01,556629,1.4
2022-11-01,556629,1.4
2022-12-01,556629,1.4
2023-01-01,523816,0.9
2023-02-01,523816,0.9
2023-03-01,523816,0.9
2023-04-01,551569,0.9
2023-05-01,551569,0.9
2023-06-01,551569,0.9
2023-07-01,572284,1.4
2023-08-01,572284,1.4
2023-09-01,572284,1.4
2023-10-01,580296,1.4
2023-11-01,580296,1.4
2023-12-01,580296,1.4
2024-01-01,587840,1.3
2024-02-01,587840,1.3
2024-03-01,587840,1.3
2024-04-01,,
