date,Export amount,Export growth rate,Import amount,Import growth rate
2015-01-01,"45,105,389",-1,"39,283,025",-12.2
2015-02-01,"41,472,191",-3.4,"33,998,316",-19.2
2015-03-01,"46,822,771",-4.6,"38,485,935",-15.5
2015-04-01,"46,221,931",-8,"37,858,798",-17.5
2015-05-01,"42,327,311",-11,"36,039,800",-15.4
2015-06-01,"46,554,512",-2.7,"36,598,398",-13.8
2015-07-01,"45,695,747",-5.2,"38,647,067",-15.7
2015-08-01,"39,107,399",-15.2,"34,772,163",-18.7
2015-09-01,"43,432,312",-8.5,"34,540,504",-21.8
2015-10-01,"43,352,046",-16,"36,762,975",-16.6
2015-11-01,"44,285,052",-5,"34,049,682",-17.6
2015-12-01,"42,379,843",-14.3,"35,462,311",-19.2
2016-01-01,"40,257,000",11,"37,645,403",20.2
2016-02-01,"43,166,536",20.2,"36,203,282",24.1
2016-03-01,"48,637,832",13.1,"42,579,492",27.7
2016-04-01,"50,843,799",23.8,"37,959,391",17.2
2016-05-01,"44,926,979",13.1,"39,287,764",19
2016-06-01,"51,272,452",13.4,"40,551,012",19.7
2016-07-01,"48,830,440",19.4,"38,607,157",15.7
2016-08-01,"47,105,569",17.4,"40,549,772",15.5
2016-09-01,"55,115,240",34.9,"41,695,884",22.7
2016-10-01,"44,791,239",6.7,"37,856,562",8
2016-11-01,"49,707,197",9.7,"42,013,512",12.8
2016-12-01,"49,040,139",8.8,"43,529,066",13.6
2017-01-01,"40,257,000",11,"37,645,403",20.2
2017-02-01,"43,166,536",20.2,"36,203,282",24.1
2017-03-01,"48,637,832",13.1,"42,579,492",27.7
2017-04-01,"50,843,799",23.8,"37,959,391",17.2
2017-05-01,"44,926,979",13.1,"39,287,764",19
2017-06-01,"51,272,452",13.4,"40,551,012",19.7
2017-07-01,"48,830,440",19.4,"38,607,157",15.7
2017-08-01,"47,105,569",17.4,"40,549,772",15.5
2017-09-01,"55,115,240",34.9,"41,695,884",22.7
2017-10-01,"44,791,239",6.7,"37,856,562",8
2017-11-01,"49,707,197",9.7,"42,013,512",12.8
2017-12-01,"49,040,139",8.8,"43,529,066",13.6
2018-01-01,"49,221,291",22.3,"45,805,322",21.7
2018-02-01,"44,523,530",3.1,"41,722,154",15.2
2018-03-01,"51,309,932",5.5,"44,897,838",5.4
2018-04-01,"49,850,235",-2,"43,693,963",15.1
2018-05-01,"50,687,750",12.8,"44,458,729",13.2
2018-06-01,"51,079,375",-0.4,"45,000,164",11
2018-07-01,"51,810,255",6.1,"44,917,044",16.3
2018-08-01,"51,180,449",8.7,"44,360,778",9.4
2018-09-01,"50,650,208",-8.1,"41,032,928",-1.6
2018-10-01,"54,860,310",22.5,"48,480,618",28.1
2018-11-01,"51,479,530",3.6,"46,808,199",11.4
2018-12-01,"48,206,793",-1.7,"44,024,694",1.1
2019-01-01,"46,168,934",-6.2,"45,153,389",-1.4
2019-02-01,"39,481,803",-11.3,"36,651,437",-12.2
2019-03-01,"47,003,206",-8.4,"41,992,349",-6.5
2019-04-01,"48,781,156",-2.1,"45,047,164",3.1
2019-05-01,"45,703,948",-9.8,"43,619,667",-1.9
2019-06-01,"44,008,404",-13.8,"40,104,812",-10.9
2019-07-01,"46,078,221",-11.1,"43,762,245",-2.6
2019-08-01,"44,020,065",-14,"42,457,250",-4.3
2019-09-01,"44,629,053",-11.9,"38,741,473",-5.6
2019-10-01,"46,648,756",-15,"41,396,517",-14.6
2019-11-01,"44,040,722",-14.5,"40,729,215",-13
2019-12-01,"45,668,341",-5.3,"43,687,430",-0.8
2020-01-01,"43,103,061",-6.6,"42,718,100",-5.4
2020-02-01,"40,911,819",3.6,"36,977,247",0.9
2020-03-01,"46,167,204",-1.8,"41,803,860",-0.4
2020-04-01,"36,270,183",-25.6,"37,932,611",-15.8
2020-05-01,"34,854,511",-23.7,"34,661,974",-20.5
2020-06-01,"39,214,071",-10.9,"35,794,860",-10.7
2020-07-01,"42,785,144",-7.1,"38,849,185",-11.2
2020-08-01,"39,469,231",-10.3,"35,817,929",-15.6
2020-09-01,"47,819,948",7.1,"39,400,190",1.7
2020-10-01,"44,818,534",-3.9,"39,093,795",-5.6
2020-11-01,"45,751,883",3.9,"39,944,763",-1.9
2020-12-01,"51,332,449",12.4,"44,638,246",2.2
2021-01-01,"48,006,974",11.4,"44,456,822",4.1
2021-02-01,"44,706,907",9.3,"42,404,636",14.7
2021-03-01,"53,690,914",16.3,"49,742,555",19
2021-04-01,"51,225,991",41.2,"50,891,152",34.2
2021-05-01,"50,725,161",45.5,"47,910,522",38.2
2021-06-01,"54,778,905",39.7,"50,429,027",40.9
2021-07-01,"55,461,518",29.6,"53,676,256",38.2
2021-08-01,"53,165,104",34.7,"51,581,093",44
2021-09-01,"55,913,862",16.9,"51,636,341",31.1
2021-10-01,"55,660,373",24.2,"53,847,824",37.7
2021-11-01,"60,330,542",31.9,"57,357,549",43.6
2021-12-01,"60,734,117",18.3,"61,159,671",37
2022-01-01,"55,455,376",15.5,"60,606,721",36.3
2022-02-01,"54,155,835",21.1,"53,482,054",26.1
2022-03-01,"63,786,835",18.8,"63,811,102",28.3
2022-04-01,"57,842,816",12.9,"60,213,185",18.3
2022-05-01,"61,591,326",21.4,"63,168,380",31.8
2022-06-01,"57,679,934",5.3,"60,149,906",19.3
2022-07-01,"60,241,774",8.6,"65,259,838",21.6
2022-08-01,"56,605,950",6.5,"66,027,733",28
2022-09-01,"57,176,300",2.3,"61,012,837",18.2
2022-10-01,"52,428,092",-5.8,"59,167,185",9.9
2022-11-01,"51,771,855",-14.2,"58,847,655",2.6
2022-12-01,"54,848,666",-9.7,"59,623,062",-2.5
2023-01-01,"46,339,145",-16.4,"59,037,259",-2.6
2023-02-01,"49,994,593",-7.7,"55,370,498",3.5
2023-03-01,"54,882,484",-14,"59,635,920",-6.5
2023-04-01,"49,430,879",-14.5,"51,940,137",-13.7
2023-05-01,"52,054,195",-15.5,"54,251,194",-14.1
2023-06-01,"54,297,754",-5.9,"53,055,480",-11.8
2023-07-01,"50,457,776",-16.2,"48,738,114",-25.3
2023-08-01,"51,994,074",-8.1,"51,009,758",-22.7
2023-09-01,"54,650,691",-4.4,"50,972,525",-16.5
2023-10-01,"54,989,950",4.9,"53,440,582",-9.7
2023-11-01,"55,561,090",7.3,"51,997,805",-11.6
2023-12-01,"57,573,193",5,"53,122,854",-10.9
2024-01-01,"54,757,614",18.2,"54,359,017",-7.9
2024-02-01,"52,393,138",4.8,"48,076,426",-13.2
2024-03-01,"56,557,850",3.1,"52,267,259",-12.4
2024-04-01,"56,261,590",13.8,"54,732,441",5.4
